"","date","month","city","state","event_name","JSD_score","Spearman_cor"
"243","14/4/2017",4,"Lancaster","PA","Launch Music Conference & Festival",0,1
"244","14/4/2017",4,"Los Angeles","CA","ASCAP äóìI Create Musicäó EXPO",0.326448107705822,0.0607142857142857
"245","14/4/2017",4,"Indio","CA","Coachella weekend 1",0.0647671995452815,0.396428571428571
"246","15/4/2017",4,"Lancaster","PA","Launch Music Conference & Festival",0,1
"247","15/4/2017",4,"Los Angeles","CA","ASCAP äóìI Create Musicäó EXPO",0.326448107705822,0.0607142857142857
"248","15/4/2017",4,"Indio","CA","Coachella weekend 1",0.0647671995452815,0.396428571428571
"249","16/4/2017",4,"Lancaster","PA","Launch Music Conference & Festival",0,1
"250","16/4/2017",4,"Indio","CA","Coachella weekend 1",0.0647671995452815,0.396428571428571
"251","19/4/2017",4,"New York","NY","Tribeca Film Festival",0.1574638925096,-0.0892857142857143
"252","20/4/2017",4,"New York","NY","Tribeca Film Festival",0.1574638925096,-0.0892857142857143
"253","20/4/2017",4,"Nashville","TN","Nashville Film Festival",0.239667529147505,0.157142857142857
"254","20/4/2017",4,"Seattle","WA","MoPOP Pop Conference",0.145511152182986,0.625
"255","20/4/2017",4,"Orlando","FL","Florida Music Festival & Conference",0.201277055591731,0.475
"256","20/4/2017",4,"New York","NY","Vanity Fairäó»s Founders Fair",0.0897830630884137,NA
"257","21/4/2017",4,"New York","NY","Tribeca Film Festival",0.1574638925096,-0.0892857142857143
"258","21/4/2017",4,"Nashville","TN","Nashville Film Festival",0.239667529147505,0.157142857142857
"259","21/4/2017",4,"Seattle","WA","MoPOP Pop Conference",0.145511152182986,0.625
"260","21/4/2017",4,"Orlando","FL","Florida Music Festival & Conference",0.201277055591731,0.475
"261","21/4/2017",4,"Chicago","IL","Chicago Comic & Entertainment Expo",0.196110609296023,-0.185714285714286
"262","21/4/2017",4,"Indio","CA","Coachella weekend 2",0.0647671995452815,0.396428571428571
"263","22/4/2017",4,"New York","NY","Tribeca Film Festival",0.1574638925096,-0.0892857142857143
"264","22/4/2017",4,"Nashville","TN","Nashville Film Festival",0.239667529147505,0.157142857142857
"265","22/4/2017",4,"Seattle","WA","MoPOP Pop Conference",0.145511152182986,0.625
"266","22/4/2017",4,"Orlando","FL","Florida Music Festival & Conference",0.201277055591731,0.475
"267","22/4/2017",4,"Chicago","IL","Chicago Comic & Entertainment Expo",0.196110609296023,-0.185714285714286
"268","22/4/2017",4,"Indio","CA","Coachella weekend 2",0.0647671995452815,0.396428571428571
"269","22/4/2017",4,"Las Vegas","NV","NAB Show",0.135041940259226,-0.453571428571428
"270","22/4/2017",4,"Los Angeles","CA","Los Angeles Times Festival of Books",0.298885031838189,0.0285714285714286
"271","22/4/2017",4,"Clarksdale","MS","Juke Joint Festival",0.0581450349096185,0.705463600778662
"272","23/4/2017",4,"New York","NY","Tribeca Film Festival",0.1574638925096,-0.0892857142857143
"273","23/4/2017",4,"Nashville","TN","Nashville Film Festival",0.239667529147505,0.157142857142857
"274","23/4/2017",4,"Seattle","WA","MoPOP Pop Conference",0.145511152182986,0.625
"275","23/4/2017",4,"Chicago","IL","Chicago Comic & Entertainment Expo",0.196110609296023,-0.185714285714286
"276","23/4/2017",4,"Indio","CA","Coachella weekend 2",0.0647671995452815,0.396428571428571
"277","23/4/2017",4,"Las Vegas","NV","NAB Show",0.135041940259226,-0.453571428571428
"278","23/4/2017",4,"Los Angeles","CA","Los Angeles Times Festival of Books",0.298885031838189,0.0285714285714286
"279","24/4/2017",4,"New York","NY","Tribeca Film Festival",0.1574638925096,-0.0892857142857143
"280","24/4/2017",4,"Nashville","TN","Nashville Film Festival",0.239667529147505,0.157142857142857
"281","24/4/2017",4,"Las Vegas","NV","NAB Show",0.135041940259226,-0.453571428571428
"282","24/4/2017",4,"Miami","FL","Billboard Latin Music Conference and Awards",0.242118488225096,0.375
"283","25/4/2017",4,"New York","NY","Tribeca Film Festival",0.1574638925096,-0.0892857142857143
